iter	Passed	Remaining
769	4712	1407
770	4718	1401
771	4725	1395
772	4732	1389
773	4738	1383
774	4744	1377
775	4750	1371
776	4757	1365
777	4763	1359
778	4770	1353
779	4776	1347
780	4782	1341
781	4788	1334
782	4795	1329
783	4802	1323
784	4811	1317
785	4818	1311
786	4824	1305
787	4831	1299
788	4838	1293
789	4845	1287
790	4851	1281
791	4857	1275
792	4864	1269
793	4871	1263
794	4878	1257
795	4884	1251
796	4891	1245
797	4897	1239
798	4904	1233
799	4910	1227
800	4918	1221
801	4925	1215
802	4931	1209
803	4939	1204
804	4946	1198
805	4952	1192
806	4959	1186
807	4965	1180
808	4972	1174
809	4979	1167
810	4986	1162
811	4992	1155
812	4999	1149
813	5005	1143
814	5013	1137
815	5020	1132
816	5027	1126
817	5034	1120
818	5041	1114
819	5045	1107
820	5052	1101
821	5058	1095
822	5065	1089
823	5072	1083
824	5078	1077
825	5085	1071
826	5092	1065
827	5099	1059
828	5106	1053
829	5110	1046
830	5119	1041
831	5126	1035
832	5132	1028
833	5139	1022
834	5146	1016
835	5154	1011
836	5161	1005
837	5169	999
838	5179	993
839	5186	987
840	5193	981
841	5199	975
842	5205	969
843	5211	963
844	5217	956
845	5222	950
846	5228	944
847	5235	938
848	5243	932
849	5250	926
850	5258	920
851	5265	914
852	5271	908
853	5278	902
854	5285	896
855	5292	890
856	5298	884
857	5305	878
858	5312	871
859	5318	865
860	5325	859
861	5332	853
862	5338	847
863	5344	841
864	5350	835
865	5358	829
866	5365	823
867	5373	817
868	5380	811
869	5386	804
870	5394	798
871	5402	792
872	5410	787
873	5417	781
874	5429	775
875	5435	769
876	5449	764
877	5459	758
878	5465	752
879	5476	746
880	5485	740
881	5493	734
882	5506	729
883	5514	723
884	5525	717
885	5534	712
886	5544	706
887	5557	700
888	5565	694
889	5575	689
890	5585	683
891	5594	677
892	5604	671
893	5610	665
894	5617	659
895	5625	652
896	5630	646
897	5637	640
898	5642	633
899	5650	627
900	5656	621
901	5662	615
902	5670	609
903	5674	602
904	5684	596
905	5689	590
906	5695	584
907	5703	577
908	5709	571
909	5718	565
910	5723	559
911	5731	553
912	5737	546
913	5742	540
914	5751	534
915	5756	527
916	5764	521
917	5769	515
918	5774	508
919	5782	502
920	5787	496
921	5793	490
922	5803	484
923	5816	478
924	5820	471
925	5826	465
926	5831	459
927	5836	452
928	5843	446
929	5852	440
930	5871	435
931	5897	430
932	5919	425
933	5924	418
934	5931	412
935	5938	406
936	5947	399
937	5954	393
938	5960	387
939	5966	380
940	5971	374
941	5976	368
942	5981	361
943	5986	355
944	5993	348
945	5998	342
946	6003	335
947	6009	329
948	6015	323
949	6020	316
950	6025	310
951	6030	304
952	6035	297
953	6040	291
954	6045	284
955	6050	278
956	6055	272
957	6060	265
958	6065	259
959	6071	252
960	6124	248
961	6159	243
962	6176	237
963	6213	232
964	6229	225
965	6236	219
966	6266	213
967	6280	207
968	6292	201
969	6300	194
970	6312	188
971	6323	182
972	6330	175
973	6343	169
974	6348	162
975	6360	156
976	6365	149
977	6374	143
978	6379	136
979	6387	130
980	6391	123
981	6397	117
982	6406	110
983	6411	104
984	6429	97
985	6446	91
986	6480	85
987	6499	78
988	6507	72
989	6517	65
990	6524	59
991	6532	52
992	6544	46
993	6563	39
994	6573	33
995	6585	26
996	6600	19
997	6610	13
998	6617	6
999	6627	0
